temperature,mean_magnet,mean_abs_magnet,mean_energy,heat_capacity,susceptibility
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.000000000000000000e+00,nan,nan
2.500000000000000000e-01,1.000000000000000000e+00,1.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,9.999998779296874751e-01,9.999998779296874751e-01,-1.999999511718749901e+00,1.562402394483797252e-05,4.882508619630243629e-07
7.500000000000000000e-01,9.999504394531250062e-01,9.999504394531250062e-01,-1.999802490234374952e+00,2.836970377959207625e-03,1.346672364282615884e-04
1.000000000000000000e+00,9.992666015625000231e-01,9.992666015625000231e-01,-1.997125000000000039e+00,2.408092187488364289e-02,1.618651367152779130e-03
1.250000000000000000e+00,9.959431152343749538e-01,9.959431152343749538e-01,-1.984558593750000099e+00,8.335665999969933682e-02,7.774771045023953948e-03
1.500000000000000000e+00,9.865065917968750542e-01,9.865065917968750542e-01,-1.951066406250000052e+00,1.984801805554323173e-01,2.691185054519943873e-02
1.750000000000000000e+00,9.638767089843750524e-01,9.638767089843750524e-01,-1.879959716796874902e+00,3.888926334304637633e-01,9.043967909454815601e-02
2.000000000000000000e+00,9.111301269531250080e-01,9.111301269531250080e-01,-1.745290771484375059e+00,7.382302014005972524e-01,3.886154748229841971e-01
2.250000000000000000e+00,3.545511474609375213e-01,6.749019775390624476e-01,-1.460194824218749909e+00,1.879712507667944843e+00,1.656557909526298999e+02
2.500000000000000000e+00,-1.986682128906249942e-02,1.960994873046874865e-01,-1.107603271484375096e+00,8.879889838964664106e-01,2.303097487182007086e+01
2.750000000000000000e+00,9.375976562500000847e-03,1.147880859375000062e-01,-9.332976074218749529e-01,5.502323139769655924e-01,7.643056746803977397e+00
3.000000000000000000e+00,3.988403320312500222e-03,8.510388183593750600e-02,-8.158579101562499769e-01,3.919805466308616815e-01,3.885550837560018067e+00
3.250000000000000000e+00,-9.162597656250000278e-04,7.015844726562500688e-02,-7.302248535156250497e-01,3.093515740511711409e-01,2.427710242469200530e+00
3.500000000000000000e+00,-2.181762695312500135e-03,6.292956542968750067e-02,-6.596076660156250382e-01,2.498679398068741897e-01,1.800633352534702913e+00
3.750000000000000000e+00,1.354980468750000119e-04,5.508666992187499778e-02,-6.043100585937499769e-01,1.994032095659753756e-01,1.306451496988932037e+00
4.000000000000000000e+00,1.685791015625000007e-04,5.129895019531249822e-02,-5.567824707031250320e-01,1.712467591819759605e-01,1.051091784816741814e+00
4.250000000000000000e+00,1.366333007812499953e-03,4.757849121093749717e-02,-5.175117187500000160e-01,1.472274749134925842e-01,8.556975411843692481e-01
4.500000000000000000e+00,2.236328125000000089e-04,4.575659179687500272e-02,-4.836669921874999778e-01,1.250299177758500968e-01,7.433162020399305403e-01
